Name,Rating,Title,Review
rakesh dharavathu,5,Classy product,Loved it and thanks flipkart i bought it in exact sale and received the product on next day thanks for faster delivery flipkart ❣️ READ MORE
Shimanta Krishna Bhuyan,5,Just wow!,"First iPhone I’ve bought, and with my own money so all the more sweet! Have being using it from the last couple of months, I’ve been amazed at the usage, design, and inter-operability with Apple devices. READ MORE"
Sivam Ray,5,Mind-blowing purchase,Camera  is superb 🫡❤️ READ MORE
Ratul  Sarkar,5,ONE OF THE BEST PURCHASE OF MINE:),"Pros Outstanding design - sturdy and water-proofed. Bright OLED screen, HDR10, Dolby Vision. Dependable battery life. Loud stereo speakers, excellent output. Unmatched performance, 5G. Great all-round photo and video quality across all three cameras. Cons Minor upgrade over iPhone 12. No 120Hz refresh rate. The notch is still an eyesore even if smaller. The fast charging can be handled better. iOS (with its limitations) remains a love it or leave it affair. READ MORE"
V.someshwar reddy  V.someshwar,4,Worth the money,Fantastic I phone 13 camera is superb performance also nice READ MORE
Krishna Prasad,5,Super!,Battery life is good. Display is very good. Performance is great. Stereo sound is good. Camera is fantastic. In hand feel perfect. READ MORE
Binata  Gowala,5,Classy product,Nice experience READ MORE
Sukanta Paik,4,Worth the money,"After using of two week , I just love this phone , after shifting from android to iOS i feel so difficult form and boring for 5-6 days then updating to iOS 16 its too cool. from day one when when you use display camera may be a thought come in your mind omg I am spending that much of money for it but honestly when you use day bye day uhh definitely fall love with it . Battery backup was fantastic. And smart optimisation was fabulous. Display was mind blowing with it natural colour. And about... READ MORE"
Biswajeet Parida,5,Must buy!,BEST EVER EXPERIENCE 😍😍 READ MORE
Rajan Khan,5,Simply awesome,Just love it ❤️ Camera is good Night mode is killer Performance and display is best Face id is very fast Looks very premium in hand Just go for it without thinking too much ! READ MORE
Aditya  Singh,5,Wonderful,It's Amazing Phone. Camera Quality Superb Display Quality Amazing Over All Totally Amazing Phone.. READ MORE
ANUJ KUMAR,5,Perfect product!,Awesome display Awesome performance Good battery Awesome camera READ MORE
Pankaj Kumar,5,Classy product,Very Nice Phone Camera Awesome READ MORE
Pawan Bishnoi,5,Awesome,Good photo quality I like it ❤️ READ MORE
Megha Sinha,5,Highly recommended,Awesome picture quality!!! Must go for it!! READ MORE
Manoj  Kwatra,5,Worth every penny,Such an amazing device. Bought 3  for all my family on Flipkart big billian sale. Thanks Flipkart READ MORE
Rahul Srivastava,5,Utterly Disappointed,"Review after 3 months...all of sudden phone dead ,taken in to service center they said motherboard issue...fortunate this happen during warranty else It would have been different story altogether. READ MORE"
ritu mishra,5,Terrific purchase,It's  just mind-blowing  I have switched from Android to iOS it feels fantastic. The  alluring effect and  the fascinated color it's top notch. I was hesitating to buy online but one can completely rely on. Special thanks to ekart and flipkart to deliver only in 2days delivery is quick  and trustworthy. READ MORE
Vaibhav  Yadav,5,Brilliant,Good performance and camera 😍😍😍😍 READ MORE
SHIVAM KUMAR,5,Classy product,Brilliant Camera Work Full Use Of Money And Smoothness At Next Level 😍 READ MORE
Shivam Dharmadhikari,5,Must buy!,top notch camera with beast processor! Bteery backup is decent can use whole day easily! READ MORE
Nithesh Nayak,5,Must buy!,"That was quick delivery by FLIPKART. Box is so compact and light weight, for a moment I had doubt whether box has Mobile or not. Product Red iPhone 13 is actually RED this time. Feels comfortable when you hold in hand. Feels light and more like big brother of iPhone 5s. Selfie camera is great and battery seems better than iphone 12 READ MORE"
Abinash Tamuli,5,Awesome,Review: Received original product in good packaging. The rear camera takes very good and sharp images. The front camera in low light is average. The portrait mode is just awesome. The video quality and clarity is mind blowing. Overall satisfied with my purchase. Thanks to Ekart and Flipkart. READ MORE
Rachana Singh,5,Perfect product!,Value for money.. So lightweight and handy. READ MORE
Minakshi  Vaishnav,5,Terrific,"So, after using my IPhone for almost 3 weeks, My experience is amazing and as I expected. You should go for this. READ MORE"
Anup Allwin,5,Perfect upgraded...!,"Apple as always surprises with the fluidity of the UI and the esthetics design, I'm upgrading from XS to 13 and I'm not regretting a bit, I mean dont get me wrong XS is a stunning phone after 3 odd years of time with it, never felt sluggish but iPhone 13 is a big jump and a game changer love the design, love the UI and the haptics of course very clean look and feel. I got this phone for 52k which is a big deal on the Big Billion days, Thanks to flipkart the delivey was even more faster as exp... READ MORE"
Flipkart Customer,5,Terrific purchase,amazing phone READ MORE
Rinkun Behera,5,Classy product,This is my first iPhone. Shifted to ios after 5 years of android. Without taking much time Let me share my experiences with this beast. Camera - 10/10 Battery - 9/10 Display - 10/10 Performance - 10/10 Design - 10/10 READ MORE
manoj bedi,5,Classy product,The product is good in terms of camera quality and overall experience. READ MORE
BISWAJIT POREL,5,Terrific purchase,My first Iphone.. Best Phone i have ever uesd. Thank You.. Apple & Flipkart.♥️ READ MORE
Anmoldeep Singh,5,Super!,Best camera READ MORE
Saitarun,5,Awesome,"Excellent after using 1 week and played Pubg, experienced a good battery and display with faster processor. Loved it READ MORE"
Hrithik Ghorpade,4,Pretty good,Captures great photos. READ MORE
sanjay singh gurjar,5,Super!,Nice READ MORE
SAJAL SAMADDER,5,Best in the market!,It’s my First iPhone And i love it.Thanks Flipkart for give me this at good price. READ MORE
Aman Chauhan,5,Excellent,Luv this phone ❤️‍🔥❤️❤️‍🩹 READ MORE
Khaleef Sk,5,Wonderful,Camera is just litt 🔥 READ MORE
Sadik Shaikh,5,Worth every penny,My first iPhone So happy to use it. READ MORE
Abhijith G  Nadh,4,Wonderful,Good decision for 13 super camera READ MORE
Anjana Bhadra,5,Terrific,Thank you 💞💞💞💞💞💞 READ MORE
Flipkart Customer,5,Best in the market!,No doubt best of the segment !! READ MORE
Dakshya Chauhan,5,Must buy!,As beautiful as pic and as good as it has too READ MORE
Sheikh Saquib,5,Awesome,GOOD PRODUCT... READ MORE
Biswajit Das,5,Must buy!,Apart from camera and performance it’s battery is fantastic. READ MORE
HARIOM SHRIVASTVA,5,Brilliant,"Very Nice camera, battery is also good, no lagging, no heating, it's an amazing phone, working like butter😊. 5 STAR🌟🌟🌟🌟🌟 READ MORE"
Surbhit  Saxena,5,Must buy!,Awesome powerful phone. Really loved it READ MORE
THOKCHOM PRASANTA  SINGH,5,Worth every penny,super duper READ MORE
Wasi Mohammad,5,Worth every penny,Best iPhone upgraded from 11 to 13 🥰 READ MORE
Shivam Chauhan,5,Simply awesome,I am a firsttime ios user And i had greatest experience ✌️ I love design battery display and everything READ MORE
Rahul Rawat,5,Mind-blowing purchase,"Awesome product must buy. Well, switching from Android to iOS will make you a little uncomfortable as Siri can't understand Hindi. The most important I like about this phone is that Bgmi get opens within 11 to 13 seconds. Speaker is awesome, the display is fantastic, battery 🔋 is 3200. And most important speed and camera are incredible. Check my photos. If you want to switch then don't buy iPhone 11 or 12 must go for 13 or 14. Well, I am leaving this review after using it for 1 week. I order... READ MORE"
Flipkart Customer,5,Great product,Awesome phone too much battery life READ MORE
Bhavik Ramani,5,Perfect product!,Nice Phone And battery Back-up Is Also Very Good Camara Is Superb.. READ MORE
Nagma Abedin,5,Super!,Amazing Love the camera 📸 READ MORE
Pushpender Singh,5,Must buy!,Owsm camera and performance and camera perfectly work in night 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍 READ MORE
Flipkart Customer,5,Classy product,This is nice phone. You can buy it without any doubt in flipkart. Dont take bad rumors while buying it. Delivery is good and it is trusted Battery is good Camera is good Performance is good Buy a better a case and protect it with screen gaurd for a longer life This is my review and hope you like it Thank you READ MORE
Subhadeep Chakraborty,5,Terrific purchase,Awesome 👍😎 READ MORE
Kalash Baranwal,5,Wonderful,Camera quality is awesome READ MORE
Sayan Mondal,5,Best in the market!,A gift for myself READ MORE
Santhosh  Roy,5,Simply awesome,💥Next Level Looking READ MORE
Seshi Kumar,5,Simply awesome,I just loved the mobile pics are good battery is good too READ MORE
Flipkart Customer,5,Classy product,Very nice READ MORE
Sachin som,5,Just wow!,I like iPhone 13 because battery backup is best also fast changing …. Camera 👌👌 READ MORE
Ravikanth  Bolisetty,5,Perfect product!,Superb Phone.... I loved it.... READ MORE
Krishnadeo  Singh,5,Brilliant,Nice READ MORE
Amir Ali  Khan,5,Terrific,Good in every aspect READ MORE
Mr. Ŕajiß,5,Awesome,Very nice READ MORE
Preetam  Choubey,5,Highly recommended,Very nice READ MORE
Amit  Tirmakhe,5,Great product,Very nic product READ MORE
Flipkart Customer,5,Classy product,Good READ MORE
Shubham Patil,5,Fabulous!,Excellent!!!!! READ MORE
Zothan Sanga,4,Pretty good,"this is my first time buying an Apple Product, I dont know much about it..... but it look genuine to me.....its hard being new to iphone u cuz you know, everything is different from that of an android smartphone..... you know what, i was searching for the mobile data button for 3 hrs😂😂.... thanks flipkart, it was worth it❤❤ READ MORE"
Nitin Padvi,5,Terrific,My 1st IPhone…Nothing to say just love it READ MORE
Amey Deshpande,5,Terrific,Awesome Gadget as expected….But overpriced…. Overall Performance is up to the mark. Especially battery battery performance is outstanding. Camera=Average Performance. Overall 5/5 star. READ MORE
Saptarshi Sinha,4,Really Nice,The product received was good but the delivery boy 'Susanta Sasmal' was very rude and threatened while exchanging the old phone. He intentionally scratched the mobile and reduced the value. READ MORE
Shubham Sharma,5,Excellent,Cinematic mode is excellent Camera is superb as expected Performance is great Battery life is good Display is best I’ve ever seen Overall this model is best. READ MORE
Raju Geddam,5,Perfect product!,No words to say... Everybody knows...  Hey siri READ MORE
Seemab Akhtar,5,Brilliant,"I ordered this Iphone 13 from flipkart on big billions day.One of the best phone I have ever used.Amazing camera,amazing sound quality,amazing video and screen quality.Good built quality.Overall a good phone.At last Iphone. It is successfully delivered by Ekart logistic.Thanks flipkart for delivering my Iphone. READ MORE"
rudra barik,5,Wonderful,Before this I used to buy iPhone 11 but its camera is better than 11 and its value for money. READ MORE
ADNAN SIDDIQUE,5,Terrific,"Best 5G phone. I bought this phone mainly for work from home. Their is no wifi distributors in my area. So I purchased this phone for using 5G. Let me tell you. 5G is faster than any of the other phone at my home. I have realme 5G phone, no 5G network detected. I have ViVO T2 5G, no 5G coverage I have google pixel 6a , 5G speed 150 to 200mbps Then apple 13, 5G speed 250 to 400mbps Camera is good Using continuously as hotspot I have to charge phone 3 times a day. READ MORE"
Vishwa Vijaya,5,Wonderful,Nice product very optimized battery front camera average  very good back camera READ MORE
Rajeev Ranjan,5,Worth every penny,Awesome READ MORE
Neel Gangrade,5,Fabulous!,"It's beautiful and apple. but when i look back at my S22 Plus, this feels like a mediocre device from apple. i am not saying it's bad, but android is way ahead in terms of performance, battery, camera (yess, samsung camera is amazing) and connectivity. It took me 30 minutes to connect and organize this iPhone to my car but android auto worked like magic and connects in less than 3 seconds. It's funny but this is real world data i am talking about. Then there are ads, i have system wide ad blo... READ MORE"
Flipkart Customer,5,Great product,Superb Great performance Good quality photo READ MORE
Aakash Pandey,5,Wonderful,"Bought it for 52k , totally worth the price , will give a detailed review after usage READ MORE"
Aryan Yadav,5,Best in the market!,It is worth it Got the deal only at 52019 Camera quality is excellent Battery backup is also good enough to use atleast one day And build quality is also superb READ MORE
Praveen Pawar,5,Awesome,"No words to describe, all i can say it is just awesome ❤️ Feeling amazing, loved the starlight colour, it's always royal colour. Overall perfect brand #iphone13✨❤️ READ MORE"
Aditya Narayan  Mishra,5,Terrific purchase,Very smooth experience and loved to have this.... Got this at affordable price .. READ MORE
Ranjeet kashyap,5,Great product,Iphone Is iPhone READ MORE
Farhan Shaikh,5,Terrific purchase,Nice phone ☺️ fast delivery best reseller READ MORE
Himankur Deka,5,Wonderful,Thank You Flipkart. I have received a superb product. Thank You so much for the Big Billion Day...😊 READ MORE
Soubhagya Ranjan,5,Must buy!,One of the Best ❤️ READ MORE
Surojit  Mondal,4,Very Good,My first Apple device switched from Redmi Note 7pro. Initially it looked too small skin but after using some days im very used to it and enjoyed it. CONS: Battery is the most drawback of this phone that I felt.I expected more than its battery actually delivers .drains a bit fast. Waiting for any update that can fix it Secondly selfie camera is weak during low light conditions i feel Samsung or realme has better selfie cam that this Thirdly 6.1inch screen is a bit smaller should be option for... READ MORE
Yogendra  Tomar,4,Good choice,"Excellent performance,  excellent camera and audio quality. Only that front design could have been better in terms of bezel and notch. I own a samsung s20+ which looks better in front screen design but other than that everything is top notch in iphone 13. READ MORE"
sohail,5,Wonderful,"This was my first IOS device and i loved it hope you do too….it’s overall great. As i have heard my friends crying over iphone battery, it’s not that bad….it’s good but can’t compare it with android but still its good…. READ MORE"
ROHIT GAUTAM,5,Just wow!,I am so happy my husband gifted to me READ MORE
Flipkart Customer,5,Simply awesome,Excellent READ MORE
BHAGAT SURENDRA,5,Terrific,"After a very long time I switched back to the iPhone.  Because I was using android devices since very long time, now I find it bit difficult work with it fluently. But, because iphone has the best online security, I again switched back to the Apple iPhone to use my official number in it, so I can keep my official data more secure and safe. Though, I am still using android phone as my secondary phone, because android is best for the entertainment purpose. READ MORE"
Nuzair  Rasheed,5,Classy product,"I love this phone. Coming from an iPhone 6s, this is a huge upgrade. No regrets in this purchase and can guarantee this phone will last for more than 5 years with OS support and good performance. READ MORE"
monish saikia,5,Brilliant,Best phone at 49990 . Loved it ..BBD is best 😍 see this night mode ..it looks like day ...aswm cam..even my eye can't see anything outside this window but see the phone cam .. READ MORE
Saurabh S Masure,5,Brilliant,My First iPhone READ MORE
Bharat Bhanushali,5,Terrific purchase,"Review of the iPhone 13 (White, 128 GB) After 2 Years: The iPhone 13 is truly an outstanding device. Its performance remains unmatched, and no other phone comes close. READ MORE"
prince jeeVa,5,Highly recommended,Great mobile  after 1yr 6 months im writing this review everything is fine till now READ MORE
Mani Kanta,5,Excellent,Review after 1 year.. go with 256gb model if u r photo freak.. normal user can use 128gb. All good READ MORE
Sudhir Kumar Ghadai,5,Best in the market!,1. Good one 2. Nice battery performance 3. Low Network connectivity at Himachal Chamba Thanks a lot READ MORE
ambrish rai,5,Great product,Excellent 👌 READ MORE
Bablu  Das,5,Terrific,Superb performance 🔥😌 READ MORE
Santosh Pathade,5,Highly recommended,"A good phone, wait for sales of flipkart because then you afford it... READ MORE"
Sonal Tomar,5,Super!,Like wow🤘🏻 READ MORE
Mahesh Kale,5,Excellent,Amazing product from the house of apple. Worth every penny. Pros. 1. Camera 2. Processor 3. Security 4. Usability Cons. Price ( so wait for the BBD sale) READ MORE
Karthik G R,5,Must buy!,"Got this phone for 49k in BBD sale which was a steal at that price. Good cameras, good battery life and great performance. The software has been buggy after iOS 16 release. That is the only con according to me. READ MORE"
Rahul  Raj,5,Worth every penny,Amazing camera power full battery 🔋 amazing phone READ MORE
Mayank Sah,5,Brilliant,Go for it ! READ MORE
Dinesh Kumar S.R,5,Just wow!,Nice design and build quality feel like premium structure READ MORE
Harshit Khajuria,5,Excellent,Dont regret spending the money 🤑🤑💰 READ MORE
Bidisha Kar,5,Terrific purchase,Using for almost 2 months.. very happy with the product 🤩 READ MORE
Flipkart Customer,5,Awesome,Every day 10-12 hours play battle royale game very nice Phone battery life good Camera good iPhone 13 🔥❤️ READ MORE
Waseem Ahmad  Ansari,5,Worth every penny,Nice 1 READ MORE
Ivin Raj s,5,Simply awesome,Awesome READ MORE
Rakesh Kurmi,5,Awesome,Superb camera quality If apple would provide the adapter it would be much better 😁 READ MORE
Suraj Nikam,5,Excellent,Satisfying product READ MORE
Shivani Rao,5,Great product,Purchased it for my sister luckily got additional 4000 discount. Till now no complaints for this. This is the first iphone we purchased. Hopefully I will purchase it soon for myself too READ MORE
Barnik Ray,5,Terrific purchase,Great product by Apple. The A15 chip is a beast as expected. Camera performance is also phenomenal. Battery easily lasts 2 days for normal usage. READ MORE
A K NEWTON,5,Perfect product!,"Best and most balanced phone. Better camera, better battery and as usual great perfomance. This is the best deal if you get up to 50k in the offer READ MORE"
Pallab Majumdar,5,Excellent,Awesome READ MORE
Rehan  Shaikh,5,Classy product,Got It in 48 Hours Fast Delivery From Flipkart Good Allrounder What are the main things that you want in a phone 1: Processor A15 bionic fastest chipset for a mobile phone till date 2: Display Super Retina display looks just awesome and the notch becomes almost invisible while you are viewing content with black background. Supports Uhd in prime video. Also supports Dolby vision. 3: Speakers supports Dolby atmos. It is loud and clear. 4: Battery the best battery ever in an iPhone it la... READ MORE
Deepankit Nishad,5,Great product,"My first iphone❤️ Bought a 256Gb variant but I think 128GB is sufficient for all normal users.. The battery, camera, and user experience all are fantastic. Loved it. READ MORE"
Kunal Prasad,5,Excellent,Upgraded from android to iphone. Overall a good smartphone. But Missing some useful features like split screen n pop up screen READ MORE
Ricky,5,Super!,"Excellent phone The phone is all what you need and more. I love the face ID and how sensitive it is in this phone, it keeps my wallet secure and at the same time it works in least light possible. The camera is brilliant, with cinematic mode every picture is really beautiful, dont need to be a pro ;) The sound quality is perfect Now its time for business Notes allow me to take pictures of docs and turn it into PDF, and copy form an image and send it via email or paste it anywhere else. I can g... READ MORE"
ANIL Singh yadav,5,Terrific purchase,"Excellent phone camera is also awasome,,,,!!! READ MORE"
Ganesh  Lenka,5,Terrific,Camera it was I loved it READ MORE
Kshitiz  Anand,4,Good quality product,Got this for 65k. Slightly overpriced. But doesn’t disappoint at all. Works flawlessly. Night photography is super fine and A15 manages all tasks efficiently. Battery is fine. Ecosystem is fantastic READ MORE
Sweta Saha,5,Fabulous!,Amazing picture quality Super smooth performance ❤️ READ MORE
Arun Albuqurque,5,Excellent,The product is excellent. Delivered in 2 days. Pick up the old phone was on schedule. Overall great service by Flipkart. READ MORE
Rajesh Pandit,5,Awesome,"phone 13 256gb ￼￼ Review Iphone 13 128gb 2 / 2 The iPhone 13 128GB is a powerful and sleek smartphone that offers a premium user experience. The device features a 6.1-inch Super Retina XDR display with ProMotion technology, which delivers vibrant and detailed images with fast refresh rates. The A15 Bionic chip provides smooth and speedy performance, and the device is also 5G compatible, allowing for fast internet speeds. The camera system on the iPhone 13 is also impressive, with a triple-len... READ MORE"
Sayan kumar Dey,5,Classy product,Very good performance battery backup is very very good overall performance is lovely💕😍 READ MORE
Srinibas Sahu,5,Terrific purchase,Awesome performance READ MORE
Swapnali Devadiga,5,Awesome,Best way to unleash your photography skills is by using this mobile camera. Best performance Best battery backup Worth each penny. READ MORE
Sudhir  Waghmare,5,Just wow!,One of the best mobile phone ever best camera ever READ MORE
Gurupada  Mishra,5,Super!,Best phone for photography READ MORE
Vishal Yadav,5,Awesome,Great Camera Great Display Good Battery life Osam Build quality Compact and sturdy READ MORE
Himani  Choudhary,5,Perfect product!,nice READ MORE
