Name,Rating,Title,Review
Flipkart Customer,5,Mind-blowing purchase,"Shifting from Android after 10 years Cons in iphone or ios: 1.Notification centre is a mess , many of notification you leave unread. 2.No back gesture 3.Camera unable to focus on small text Can't decline call when phone is locked 4.Limited file sharing options 5.File manager is useless as there is no app-linked folders 6.Google apps syncing isn't that smooth , limited options for google drive. Pros in iphone or ios: 1.No lag, every thing happens like snap 2.Camera is so good 3.Easily get fu... READ MORE"
Flipkart Customer,5,Excellent,Nice Phone READ MORE
Ashfaque Alam,5,Terrific,This is lit 🔥🔥🔥 READ MORE
Garima Singh,5,Brilliant,"Camera quality, performance, battery ,everything is up to mark. READ MORE"
Shailendra kumar,5,Just wow!,"Reality is reality. Everything is working smooth, jist go for it without any hesitation. You won't be regret once you buy it. READ MORE"
Sabita Satpathy,5,Brilliant,Very good quality photos. Love it❤️ READ MORE
Abhimanyu  Santhosh,5,Terrific purchase,For Cinematographers 💯🪄 READ MORE
harsh vardhan,5,Brilliant,Awesome camera clarity READ MORE
Md Kashf Ahmar,5,Excellent,"It’s a camera and performance beast mobile no doubt, it feels premium in hand. It’s not that much value for money, I’d rather say no person buys apple products for value for money. Overall good product. Other than that it’s iPhone, go for it. READ MORE"
Flipkart Customer,5,Super!,"My dream phone Iam waiting after 10 years bought these phone. Fully happy phone performance display camera etc awesmome,selfie camera focus to alpple company. Main camera performance awesome,display, Sound quality Dolby atoms,charging also very improved.overall super 🥰 READ MORE"
