,product name,price,rating,review count
0,Birde Sports Shoes For Men,₹388,4.0,21530 Reviews
1,Phonolite Flipflops & Slippers For Women,₹193 ,4.1,32930 Reviews
2,Modern Graceful Women Flipflops & Slippers,₹116 ,4.1,70133 Reviews
3,Trendy Kids Heels,₹276 ,4.0,1894 Reviews
4,Relaxed Fashionable Men Flip Flops,₹191 ,3.9,27356 Reviews
5,Flat Sandals,₹343 ,4.0,291 Reviews
6,Classic Wiper,₹134 ,4.0,1547 Reviews
7,Modern Graceful Men Flip Flops,₹177 ,3.7,30484 Reviews
8,Vokline Flip Flops For Men,₹196 ,3.8,16817 Reviews
9,Cutiepie Infants Sandals & Shoes,₹195 ,4.0,1752 Reviews
10,Casual Shoes,₹198 ,3.8,216 Reviews
11,Raysfield Life Style Casual Shoes For Men,₹343 ,4.0,29841 Reviews
12,Sandals,₹262 ,4.1,48 Reviews
13,Latest Attractive Women Flipflops & Slippers,₹155 ,4.0,4 Reviews
14,Modern Attractive Women Flipflops & Slippers,₹131 ,4.1,16715 Reviews
15,Gorgeous Men Boots,₹380 ,3.9,752 Reviews
16,Latest Fabulous Women Flipflops & Slippers,₹160 ,3.8,14052 Reviews
17,Birde Sports Shoes For Men,₹508,3.8,390 Reviews
18,Voguish Women Juttis & Mojaris,₹182 ,4.2,183 Reviews
19,Men Running Sport Shoes ,₹385 ,3.7,6284 Reviews
